IDS,Hier4Labelsv1,SUS,age,vui_xp,technical_skill,task_completed,menu_usage,mental_model_self1,mental_model_self2,mental_model_grade,feedback_visual,thinking,feeling,watching,doing,init,sus,first_strat,primary_strat,perception,processing,learning_style,balance_acce,balance_aero,time,utterances,unknownUtterances,entities,totalUtteranceTime,misfires,repeats,errors,words,cancels,inserts,create,delete,deleteConfirm,deleteReject,modify,end,start,modInvite,location,title,modInviteRemove,invite,inviteRemove,repetition,simplification,newKeyword,useMoreInfo,restarting,totalTactics
pid3b309e3f9e849803eeeb221485884125,2,87.5,22,1,6,10,3,3,2,1,1,21,34,36,29,User,87.5,menu,menu,-13,-7,diverger,22,13,438580,34,0,29,99845,5,3,3,200,0,7,4,3,3,0,4,4,6,1,1,1,0,0,0,1,0,1,1,0,3
pid4dbcd018bdf695e0353db0e1df665433,2,42.5,19,4,5,10,3,4,3,1,3,31,24,42,23,User,42.5,assim_bias,menu,7,-19,diverger,2,25,891170,60,0,48,227373,26,10,18,220,8,8,9,3,3,0,5,3,14,1,3,2,0,0,0,8,6,3,8,3,28
pid5a6d95c58e39e1ac0b2e0f8e1fb26cc0,0,50,20,0,5,10,1,3,3,1,3,25,29,24,42,DC,50,person,menu,-4,18,accommodater,13,12,848871,40,1,34,120206,6,7,9,180,1,7,3,3,3,0,4,0,11,1,1,4,0,0,0,2,2,2,5,0,11
pid5c1546d2c6022b43038782c767bf20d8,3,65,20,1,1,10,3,3,2,2,2,31,20,30,39,DC,65,person,menu,11,9,converger,2,3,751134,68,6,58,150254,4,19,27,235,2,7,13,5,3,0,5,1,14,1,2,4,1,1,1,6,6,4,8,0,24
pid5ee9b9a46529c1a8bb42a68ee7546005,0,30,19,1,6,10,1,2,4,2,2,36,33,26,25,User,30,programmatic,programmatic,3,-1,diverger,6,7,438879,32,1,32,94670,6,9,14,133,4,0,12,4,0,1,0,0,4,0,2,2,0,1,0,5,4,0,7,0,16
pid5f3c79c122f774dcf9dfd76163ed441a,0,95,20,5,8,10,2,4,4,3,2,26,24,33,37,User,95,menu,assim_bias,2,4,diverger,7,2,443743,40,1,36,118665,5,9,11,156,1,7,7,3,3,0,3,4,5,2,2,1,0,1,0,3,3,2,5,0,13
pid6195e7dd5816370a3d4eea9ff2cf28be,1,47.5,19,0,1,9,2,3,3,3,4,33,17,36,34,DC,47.5,programmatic,menu,16,-2,assimilator,7,8,1082310,62,2,58,231132,10,18,23,294,3,7,12,3,3,0,2,3,17,1,1,7,0,0,0,8,8,7,8,1,32
pid643388e8d217e4ebcd97e314e83bcd0c,2,12.5,21,4,8,10,0,1,1,1,5,32,26,29,33,DC,12.5,person,guess,6,4,diverger,3,2,168516,9,0,12,39625,3,2,2,75,0,0,4,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
pid77b9f38cd224359b2820b339c1e4979f,2,80,20,1,6,9,3,3,2,3,4,35,22,35,28,User,80,menu,programmatic,13,-7,assimilator,4,13,774231,46,1,40,167837,5,4,11,167,6,6,11,3,3,0,4,2,5,0,2,0,1,1,1,5,6,1,4,0,16
pid782237a8fa72c0f04d172b4a02c9902c,2,90,20,1,5,10,2,4,3,3,3,34,18,24,44,User,90,programmatic,assim_bias,16,20,converger,7,14,1893897,49,0,38,145138,6,4,9,237,5,7,5,3,3,0,5,4,8,1,5,2,0,0,0,7,5,0,4,0,16
pid79189cb455f1d274c98223a3a777b0a8,1,42.5,18,5,2,2,3,3,4,2,4,27,26,32,35,DC,42.5,menu,menu,1,3,diverger,8,3,1226751,62,3,72,187864,42,22,32,217,7,3,30,1,0,0,3,0,9,0,1,2,0,0,0,6,8,11,9,3,37
pid80c2bc630d65e6a41a9549fb9ab04001,1,35,21,2,1,10,2,3,4,1,5,35,20,40,25,User,35,menu,menu,15,-15,assimilator,6,21,832597,73,3,55,224058,13,21,32,298,8,7,9,5,2,0,7,4,19,1,4,3,0,0,0,6,4,10,8,0,28
pid815866c502de35c92f9a3fd8633e1ec7,3,75,19,2,2,10,3,5,4,3,2,22,35,23,40,User,75,assim_bias,menu,-13,17,accommodater,22,11,899107,72,1,78,188605,17,26,28,331,1,5,22,3,3,0,1,8,16,0,6,5,0,0,0,4,6,4,14,1,29
pid8610d0c6a488a6635e32ad192a22b60f,3,82.5,49,5,4,9,2,4,5,1,3,38,26,27,29,User,82.5,menu,menu,12,2,assimilator,3,4,906937,74,9,79,225455,24,27,39,283,3,8,30,1,1,0,0,0,15,0,3,4,0,0,0,6,10,11,19,1,47
pid86a9440fa2d5a9c501c7c1dc249d5cf7,0,85,24,1,4,10,2,3,2,1,4,29,22,33,36,User,85,assim_bias,menu,7,3,diverger,2,3,466744,41,1,35,91319,6,6,9,150,2,7,7,4,3,0,3,2,6,0,2,1,1,1,1,0,4,1,1,1,7
pid875e0f3b9dc56002dab47ab9039f1bdb,0,27.5,19,0,1,9,2,5,1,2,5,29,27,42,22,DC,27.5,assim_bias,guess,2,-20,diverger,7,26,1454089,69,5,60,198102,20,16,26,313,5,7,17,5,3,1,8,3,7,0,1,4,0,0,0,10,7,2,10,1,30
pid8c9b323a057698ac317263209abb277c,3,42.5,62,0,10,9,3,4,4,3,3,32,18,36,34,DC,42.5,person,menu,14,-2,assimilator,5,8,1100206,69,1,81,278655,8,22,24,290,1,10,20,7,1,0,8,2,9,0,1,7,0,1,0,8,8,1,13,0,30
pid8cf394f7dc811c8327b3d226bb1bac90,2,40,22,5,9,6,3,3,2,3,4,38,24,21,37,User,40,programmatic,assim_bias,14,16,converger,5,10,666998,50,2,45,162737,9,8,19,215,9,6,16,0,0,0,1,0,6,1,5,1,0,0,0,8,1,2,8,2,21
pid97983750f7da560c04295ded7df7a1fa,3,22.5,33,5,6,5,4,2,2,1,5,25,25,32,38,User,22.5,assim_bias,programmatic,0,6,diverger,9,0,1028727,70,7,57,190806,11,24,31,262,0,9,15,8,1,1,2,1,18,0,2,3,0,1,0,6,8,2,5,1,22
pid989d05e3bdd091aa0757486defa4f19b,0,72.5,19,0,7,10,2,4,4,1,4,42,26,26,26,DC,72.5,programmatic,programmatic,16,0,assimilator,7,6,751974,67,2,50,191160,5,11,21,202,8,8,18,4,2,1,2,0,9,1,2,2,1,0,1,2,4,3,5,1,15
pidb3dfeca0dee852e21751c909aeddae09,2,25,22,1,8,7,2,2,2,3,3,37,32,17,34,User,25,guess,programmatic,5,17,accommodater,4,11,691282,37,1,38,95923,3,12,14,158,1,5,9,1,1,0,9,3,3,0,1,1,0,0,0,4,1,2,4,0,11
pidc1448dc801ac469319b47e4a76ec0879,2,25,19,3,3,10,3,4,4,1,2,26,21,40,33,User,25,assim_bias,menu,5,-7,diverger,4,13,768752,74,1,75,193097,13,22,30,270,7,7,22,6,1,0,6,1,12,0,3,3,1,0,1,4,2,1,3,0,10
pidc26b859596e60c13de5c5ad5dde4c9d8,3,62.5,23,0,7,10,3,4,2,1,3,17,31,33,39,User,62.5,guess,menu,-14,6,diverger,23,0,960643,75,6,61,212074,6,30,39,223,3,8,10,11,4,0,5,2,9,4,4,2,0,5,0,9,7,10,10,2,38
pidc824f2ff6a8472fff2d23572ddbe2b8a,0,80,18,4,1,10,3,5,3,1,5,24,28,39,29,User,80,assim_bias,menu,-4,-10,diverger,13,16,730481,43,1,38,132505,2,5,7,218,1,7,5,5,3,0,5,7,4,0,1,3,0,1,0,6,4,0,5,0,15
pidca8348988a696b60fe09046a4bb569fd,0,60,21,5,6,8,3,5,4,3,3,31,25,32,32,DC,60,assim_bias,menu,6,0,diverger,3,6,673164,56,3,46,110686,4,11,18,202,4,7,11,6,3,0,3,3,10,0,2,1,0,1,0,3,4,1,4,1,13
pidcec888dd17fdff48f73f503aa632b863,2,95,22,1,3,10,3,5,4,3,2,36,28,18,38,User,95,menu,menu,8,20,converger,1,14,419648,41,1,38,103555,10,6,8,173,1,8,8,3,3,0,3,5,6,0,0,1,1,1,1,2,2,1,2,1,8
pidd36c39ddfd8dddf35c6222f06586bc1b,1,57.5,50,5,2,10,2,4,2,1,2,35,19,24,42,DC,57.5,programmatic,programmatic,16,18,converger,7,12,982067,71,2,74,227696,4,24,27,329,1,9,14,4,2,0,13,4,9,1,6,6,0,0,0,14,10,3,11,3,41
pidd7078a729a295d9e8382da4f2e448366,1,37.5,21,0,10,10,3,1,5,1,5,33,30,21,36,User,37.5,menu,menu,3,15,accommodater,6,9,912995,75,15,47,227413,43,28,48,214,5,7,6,6,1,0,5,0,10,0,12,4,0,0,0,10,4,17,7,0,38
pidda7d13d9d87b0ad6b0912862fe49a2a3,0,70,20,0,3,10,2,4,3,3,3,26,30,26,38,User,70,guess,menu,-4,12,accommodater,13,6,752640,47,0,42,133385,8,8,9,219,1,7,6,4,3,0,3,4,12,1,2,4,0,0,0,3,3,0,4,0,10
pidde2bf9ae9e166b14a1d1904999f748ad,2,50,22,3,6,9,2,4,1,3,2,31,24,24,41,DC,50,person,menu,7,17,accommodater,2,11,641535,37,3,27,103509,3,6,12,173,3,5,3,3,3,0,3,1,8,1,3,1,0,0,0,9,7,1,4,0,21
piddf1c3fcc6b407a39802494fea15df4a5,0,55,21,2,7,10,3,4,5,3,5,35,19,34,32,DC,55,assim_bias,menu,16,-2,assimilator,7,8,1273343,56,0,59,219075,41,10,15,221,5,6,10,4,3,0,3,3,5,1,2,11,0,0,0,4,1,10,4,2,21
piddf321364a0a8b16e2c9194fccd2f8483,1,52.5,18,1,7,10,3,5,4,3,3,36,26,27,31,User,52.5,programmatic,menu,10,4,assimilator,1,2,1053189,66,13,57,203660,55,29,42,196,0,7,15,2,2,0,6,0,14,0,2,1,0,2,0,4,5,11,9,1,30
pide3a3e46f17709e9d9f3f684551a1a59d,0,80,19,1,1,10,2,4,2,1,4,34,23,32,31,DC,80,guess,menu,11,-1,assimilator,2,7,1066719,70,5,61,250499,14,16,24,279,3,10,8,4,4,0,4,8,19,0,2,2,0,1,0,8,4,6,5,1,24
pide6314a1cb3ee5ab5fed9998e8c2250cf,3,47.5,19,3,1,10,2,1,4,1,5,23,21,38,38,User,47.5,programmatic,assim_bias,2,0,diverger,7,6,604019,60,2,61,197386,1,20,22,246,0,9,14,4,2,0,8,2,8,0,1,6,0,1,0,3,4,2,8,1,18
pide6ee3ea7f10cf59f34060efe85a5aa7f,0,60,42,5,6,9,3,4,3,3,4,40,28,17,35,User,60,assim_bias,assim_bias,12,18,converger,3,12,685129,43,4,38,140810,3,10,15,190,1,6,9,4,3,0,7,1,3,1,2,2,0,0,0,7,4,3,4,0,18
pide8a1cd9b052540942164787daeb69acc,1,67.5,19,1,2,10,4,3,2,3,3,38,17,23,42,User,67.5,menu,menu,21,19,converger,12,13,753353,63,5,58,172644,8,16,27,239,6,7,24,4,4,0,1,1,7,0,1,1,0,1,0,11,2,2,9,1,25
pideba42d4aaad0fb68a77f56d8d4fb5849,1,30,19,1,1,7,4,3,4,1,3,34,29,33,24,DC,30,menu,menu,5,-9,diverger,4,15,1721855,45,3,35,101733,10,13,22,101,6,4,6,2,2,0,10,2,8,0,0,1,0,0,0,2,1,6,3,1,13
pidec12afcede8f8020110e8692ef7c2742,2,17.5,19,2,4,8,4,4,5,1,5,31,31,21,37,User,17.5,assim_bias,menu,0,16,accommodater,9,10,824385,69,8,45,194258,36,9,32,229,15,6,14,2,2,0,4,1,8,1,5,1,0,0,0,19,5,4,10,0,38
pidf3038810fad9d0f35395e49b2bf457c6,0,95,18,1,7,10,1,5,5,3,1,32,25,33,30,DC,95,assim_bias,assim_bias,7,-3,diverger,2,9,789648,69,4,62,187524,12,13,20,330,3,7,14,6,3,0,3,9,10,1,2,2,0,1,0,7,6,1,10,0,24
pidfe7c21f90a3da58eb2fce3fdfe71c2a6,0,55,19,1,7,10,2,2,3,2,1,43,25,27,25,User,55,assim_bias,programmatic,18,-2,assimilator,9,8,732504,49,5,38,135121,4,11,17,186,1,8,4,3,3,0,3,2,16,1,1,1,1,0,1,3,8,4,8,0,23
