IDS,Hier4Labels,SUS,age,vui_xp,technical_skill,task_completed,menu_usage,mental_model_self1,mental_model_self2,mental_model_grade,feedback_visual,thinking,feeling,watching,doing,init,sus,first_strat,primary_strat,perception,processing,learning_style,balance_acce,balance_aero
piddf1c3fcc6b407a39802494fea15df4a5,0,55,21,2,7,10,3,4,5,3,5,35,19,34,32,DC,55,assim_bias,menu,16,-2,assimilator,7,8
piddf321364a0a8b16e2c9194fccd2f8483,1,52.5,18,1,7,10,3,5,4,3,3,36,26,27,31,User,52.5,programmatic,menu,10,4,assimilator,1,2
pide3a3e46f17709e9d9f3f684551a1a59d,0,80,19,1,1,10,2,4,2,1,4,34,23,32,31,DC,80,guess,menu,11,-1,assimilator,2,7
pide6314a1cb3ee5ab5fed9998e8c2250cf,3,47.5,19,3,1,10,2,1,4,1,5,23,21,38,38,User,47.5,programmatic,assim_bias,2,0,diverger,7,6
pide6ee3ea7f10cf59f34060efe85a5aa7f,0,60,42,5,6,9,3,4,3,3,4,40,28,17,35,User,60,assim_bias,assim_bias,12,18,converger,3,12
pide8a1cd9b052540942164787daeb69acc,1,67.5,19,1,2,10,4,3,2,3,3,38,17,23,42,User,67.5,menu,menu,21,19,converger,12,13
pideba42d4aaad0fb68a77f56d8d4fb5849,1,30,19,1,1,7,4,3,4,1,3,34,29,33,24,DC,30,menu,menu,5,-9,diverger,4,15
pidec12afcede8f8020110e8692ef7c2742,2,17.5,19,2,4,8,4,4,5,1,5,31,31,21,37,User,17.5,assim_bias,menu,0,16,accommodater,9,10
pidf3038810fad9d0f35395e49b2bf457c6,0,95,18,1,7,10,1,5,5,3,1,32,25,33,30,DC,95,assim_bias,assim_bias,7,-3,diverger,2,9
pidfe7c21f90a3da58eb2fce3fdfe71c2a6,0,55,19,1,7,10,2,2,3,2,1,43,25,27,25,User,55,assim_bias,programmatic,18,-2,assimilator,9,8
